Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445081462446716858,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446721685,000000F1,false,Rx,0,4,28,89,00,40,00,00,00,00,
18445081462446722070,0000012A,false,Rx,0,8,57,00,00,00,B2,58,3F,FF,
18445081462446723180,0000019D,false,Rx,0,8,40,00,3F,FF,00,00,00,FF,
18445081462446723351,000001AF,false,Rx,0,3,00,00,00,00,00,00,00,00,
18445081462446723607,000001F5,false,Rx,0,8,0F,0F,00,01,00,00,03,00,
18445081462446724633,00000134,false,Rx,0,4,00,00,10,00,00,00,00,00,
18445081462446726939,000001F1,false,Rx,0,8,AE,0E,00,00,08,00,00,72,
18445081462446727922,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446728136,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446728392,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462446728648,00000199,false,Rx,0,8,CF,FF,0B,82,F4,7B,00,FF,
18445081462446728862,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446729118,000001A1,false,Rx,0,7,00,10,01,00,00,00,00,00,
18445081462446729246,000001F3,false,Rx,0,2,80,A0,00,00,00,00,00,00,
18445081462446729503,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462446729759,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446729972,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446730186,000002C3,false,Rx,0,6,06,4B,06,A0,0F,FF,00,00,
18445081462446730400,000002D1,false,Rx,0,6,00,00,00,00,00,00,00,00,
18445081462446730528,000002D3,false,Rx,0,2,03,03,00,00,00,00,00,00,
18445081462446730784,000003C1,false,Rx,0,8,07,65,A7,80,00,00,00,00,
18445081462446731083,000003D1,false,Rx,0,8,00,2B,80,00,00,00,00,00,
18445081462446731809,000000F1,false,Rx,0,4,34,89,00,40,00,00,00,00,
18445081462446732066,000001E1,false,Rx,0,5,00,FF,11,00,20,00,00,00,
18445081462446734501,000003E9,false,Rx,0,8,00,00,00,00,00,00,00,00,
18445081462446734757,000003C9,false,Rx,0,8,07,66,00,00,00,00,00,00,
18445081462446735013,000003F9,false,Rx,0,8,00,00,00,00,55,00,0B,02,
18445081462446735141,000003FB,false,Rx,0,2,00,37,00,00,00,00,00,00,
18445081462446735398,000004C1,false,Rx,0,8,00,C9,3F,3A,50,00,00,00,
18445081462446735654,000004D1,false,Rx,0,8,08,00,04,03,1E,87,00,9C,
18445081462446737234,000003F1,false,Rx,0,8,00,FF,69,18,82,F3,00,74,
18445081462446740524,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446740737,000000C9,false,Rx,0,8,00,00,00,07,00,40,08,00,
18445081462446740994,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446741250,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446741464,00000199,false,Rx,0,8,0F,FF,0B,82,F4,7E,00,FF,
18445081462446741720,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446741891,000000F1,false,Rx,0,4,00,89,00,40,00,00,00,00,
18445081462446742062,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446748256,0000019D,false,Rx,0,8,80,00,3F,FE,00,00,00,FF,
18445081462446748427,000001AF,false,Rx,0,3,00,00,00,00,00,00,00,00,
18445081462446748683,000001F5,false,Rx,0,8,0F,0F,00,01,00,00,03,00,
18445081462446751759,000000F1,false,Rx,0,4,1C,89,00,40,00,00,00,00,
18445081462446752869,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446753126,000000C9,false,Rx,0,8,00,00,00,0A,00,40,08,00,
18445081462446753382,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446753638,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446753852,00000199,false,Rx,0,8,4F,FF,0B,82,F4,7D,00,FF,
18445081462446754108,000001A1,false,Rx,0,7,00,10,01,00,00,00,00,00,
18445081462446754364,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462446754663,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446754834,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446762139,000000F1,false,Rx,0,4,28,89,00,40,00,00,00,00,
18445081462446764489,000001E1,false,Rx,0,5,00,FE,12,00,40,00,00,00,
18445081462446765471,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446765685,000000C9,false,Rx,0,8,00,00,00,0D,00,40,08,00,
18445081462446765941,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446766197,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446766411,00000199,false,Rx,0,8,8F,FF,0B,82,F4,7C,00,FF,
18445081462446766667,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446766795,000001F3,false,Rx,0,2,C0,E0,00,00,00,00,00,00,
18445081462446766966,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446771580,000000F1,false,Rx,0,4,34,89,00,40,00,00,00,00,
18445081462446773246,0000019D,false,Rx,0,8,C0,00,3F,FD,00,00,00,FF,
18445081462446773374,000001AF,false,Rx,0,3,00,00,00,00,00,00,00,00,
18445081462446773630,000001F5,false,Rx,0,8,0F,0F,00,01,00,00,03,00,
18445081462446777902,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446778158,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462446778415,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446778628,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446778885,00000199,false,Rx,0,8,CF,FF,0B,82,F4,7B,00,FF,
18445081462446779098,000001A1,false,Rx,0,7,00,10,01,00,00,00,00,00,
18445081462446779354,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462446779653,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446779824,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446780081,000002C3,false,Rx,0,6,06,4B,06,A0,0F,FF,00,00,
18445081462446780294,000002D1,false,Rx,0,6,00,00,00,00,00,00,00,00,
18445081462446780422,000002D3,false,Rx,0,2,03,03,00,00,00,00,00,00,
18445081462446781661,000000F1,false,Rx,0,4,00,89,00,40,00,00,00,00,
18445081462446790418,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446790675,000000C9,false,Rx,0,8,00,00,00,07,00,40,08,00,
18445081462446790888,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446791145,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446791358,00000199,false,Rx,0,8,0F,FF,0B,82,F4,7E,00,FF,
18445081462446791614,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446791785,000000F1,false,Rx,0,4,1C,89,00,40,00,00,00,00,
18445081462446791956,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446794605,000001E1,false,Rx,0,5,00,FD,13,00,60,00,00,00,
18445081462446796612,000001F3,false,Rx,0,2,00,20,00,00,00,00,00,00,
18445081462446798193,0000019D,false,Rx,0,8,00,00,00,00,00,00,00,FF,
18445081462446798364,000001AF,false,Rx,0,3,00,00,00,00,00,00,00,00,
18445081462446798578,000001F5,false,Rx,0,8,0F,0F,00,01,00,00,03,00,
18445081462446798748,000004C9,false,Rx,0,4,60,3F,C1,00,00,00,00,00,
18445081462446801910,000000F1,false,Rx,0,4,28,89,00,40,00,00,00,00,
18445081462446802977,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446803191,000000C9,false,Rx,0,8,00,00,00,0A,00,40,08,00,
18445081462446803447,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446803704,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446803917,00000199,false,Rx,0,8,4F,FF,0B,82,F4,7D,00,FF,
18445081462446804174,000001A1,false,Rx,0,7,00,10,01,00,00,00,00,00,
18445081462446804430,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462446804686,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446804857,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446812119,000000F1,false,Rx,0,4,34,89,00,40,00,00,00,00,
18445081462446815408,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446815665,000000C9,false,Rx,0,8,00,00,00,0D,00,40,08,00,
18445081462446815921,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446816135,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446816391,00000199,false,Rx,0,8,8F,FF,0B,82,F4,7C,00,FF,
18445081462446816647,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446816818,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446821816,000000F1,false,Rx,0,4,00,89,00,40,00,00,00,00,
18445081462446823183,0000019D,false,Rx,0,8,40,00,3F,FF,00,00,00,FF,
18445081462446823354,000001AF,false,Rx,0,3,00,00,00,00,00,00,00,00,
18445081462446823568,000001F5,false,Rx,0,8,0F,0F,00,01,00,00,03,00,
18445081462446824678,0000012A,false,Rx,0,8,57,00,00,00,B2,58,3F,FF,
18445081462446826857,00000134,false,Rx,0,4,00,00,10,00,00,00,00,00,
18445081462446827925,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446828181,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462446828437,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446828651,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446828907,00000199,false,Rx,0,8,CF,FF,0B,82,F4,7B,00,FF,
18445081462446829121,000001A1,false,Rx,0,7,00,10,01,00,00,00,00,00,
18445081462446829334,000001E1,false,Rx,0,5,00,00,10,00,00,00,00,00,
18445081462446829548,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462446829804,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446830018,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446830232,000002C3,false,Rx,0,6,06,4B,06,A0,0F,FF,00,00,
18445081462446830445,000002D1,false,Rx,0,6,00,00,00,00,00,00,00,00,
18445081462446830616,000002D3,false,Rx,0,2,03,03,00,00,00,00,00,00,
18445081462446830872,000003C1,false,Rx,0,8,07,65,A7,80,00,00,00,00,
18445081462446831129,000003D1,false,Rx,0,8,00,2B,80,00,00,00,00,00,
18445081462446831769,000000F1,false,Rx,0,4,1C,89,00,40,00,00,00,00,
18445081462446832068,000001F1,false,Rx,0,8,AE,0E,00,00,08,00,00,72,
18445081462446834546,000003E9,false,Rx,0,8,00,00,00,00,00,00,00,00,
18445081462446834717,000001F3,false,Rx,0,2,40,60,00,00,00,00,00,00,
18445081462446837237,000003C9,false,Rx,0,8,07,66,00,00,00,00,00,00,
18445081462446840484,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446840740,000000C9,false,Rx,0,8,00,00,00,07,00,40,08,00,
18445081462446840954,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446841210,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446841466,00000199,false,Rx,0,8,0F,FF,0B,82,F4,7E,00,FF,
18445081462446841680,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446841851,000000F1,false,Rx,0,4,28,89,00,40,00,00,00,00,
18445081462446842022,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446848259,0000019D,false,Rx,0,8,80,00,3F,FE,00,00,00,FF,
18445081462446848429,000001AF,false,Rx,0,3,00,00,00,00,00,00,00,00,
18445081462446848643,000001F5,false,Rx,0,8,0F,0F,00,01,00,00,03,00,
18445081462446851847,000000F1,false,Rx,0,4,34,89,00,40,00,00,00,00,
18445081462446852872,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446853128,000000C9,false,Rx,0,8,00,00,00,0A,00,40,08,00,
18445081462446853385,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446853598,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446853855,00000199,false,Rx,0,8,4F,FF,0B,82,F4,7D,00,FF,
18445081462446854068,000001A1,false,Rx,0,7,00,10,01,00,00,00,00,00,
18445081462446854367,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462446854538,000001E1,false,Rx,0,5,00,FF,11,00,20,00,00,00,
18445081462446854794,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446854965,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446862227,000000F1,false,Rx,0,4,00,89,00,40,00,00,00,00,
18445081462446864491,000001F3,false,Rx,0,2,80,A0,00,00,00,00,00,00,
18445081462446865474,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446865688,000000C9,false,Rx,0,8,00,00,00,0D,00,40,08,00,
18445081462446865944,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446866200,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446866414,00000199,false,Rx,0,8,8F,FF,0B,82,F4,7C,00,FF,
18445081462446866670,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446866841,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446871711,000000F1,false,Rx,0,4,1C,89,00,40,00,00,00,00,
18445081462446873249,0000019D,false,Rx,0,8,C0,00,3F,FD,00,00,00,FF,
18445081462446873419,000001AF,false,Rx,0,3,00,00,00,00,00,00,00,00,
18445081462446873676,000001F5,false,Rx,0,8,0F,0F,00,01,00,00,03,00,
18445081462446877905,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446878161,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462446878417,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446878631,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446878887,00000199,false,Rx,0,8,CF,FF,0B,82,F4,7B,00,FF,
18445081462446879101,000001A1,false,Rx,0,7,00,10,01,00,00,00,00,00,
18445081462446879357,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462446879656,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446879827,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446880041,000002C3,false,Rx,0,6,06,4B,06,A0,0F,FF,00,00,
18445081462446880297,000002D1,false,Rx,0,6,00,00,00,00,00,00,00,00,
18445081462446880425,000002D3,false,Rx,0,2,03,03,00,00,00,00,00,00,
18445081462446881707,000000F1,false,Rx,0,4,28,89,00,40,00,00,00,00,
18445081462446882006,000001E1,false,Rx,0,5,00,FE,12,00,40,00,00,00,
18445081462446890464,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446890678,000000C9,false,Rx,0,8,00,00,00,07,00,40,08,00,
18445081462446890934,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446891147,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446891404,00000199,false,Rx,0,8,0F,FF,0B,82,F4,7E,00,FF,
18445081462446891660,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446891831,000000F1,false,Rx,0,4,34,89,00,40,00,00,00,00,
18445081462446892002,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446894608,000001F3,false,Rx,0,2,C0,E0,00,00,00,00,00,00,
18445081462446898239,0000019D,false,Rx,0,8,00,00,00,00,00,00,00,FF,
18445081462446898409,000001AF,false,Rx,0,3,00,00,00,00,00,00,00,00,
18445081462446898666,000001F5,false,Rx,0,8,0F,0F,00,01,00,00,03,00,
18445081462446901827,000000F1,false,Rx,0,4,00,89,00,40,00,00,00,00,
18445081462446902895,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446903151,000000C9,false,Rx,0,8,00,00,00,0A,00,40,08,00,
18445081462446903407,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446903621,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446903877,00000199,false,Rx,0,8,4F,FF,0B,82,F4,7D,00,FF,
18445081462446904091,000001A1,false,Rx,0,7,00,10,01,00,00,00,00,00,
18445081462446904347,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462446904646,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446904817,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446912122,000000F1,false,Rx,0,4,1C,89,00,40,00,00,00,00,
18445081462446914642,000001E1,false,Rx,0,5,00,FD,13,00,60,00,00,00,
18445081462446915454,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446915710,000000C9,false,Rx,0,8,00,00,00,0D,00,40,08,00,
18445081462446915967,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446916180,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446916436,00000199,false,Rx,0,8,8F,FF,0B,82,F4,7C,00,FF,
18445081462446916693,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446916864,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446921691,000000F1,false,Rx,0,4,28,89,00,40,00,00,00,00,
18445081462446922033,0000012A,false,Rx,0,8,57,00,00,00,B2,58,3F,FF,
18445081462446923186,0000019D,false,Rx,0,8,40,00,3F,FF,00,00,00,FF,
18445081462446923357,000001AF,false,Rx,0,3,00,00,00,00,00,00,00,00,
18445081462446923570,000001F5,false,Rx,0,8,0F,0F,00,01,00,00,03,00,
18445081462446924766,00000134,false,Rx,0,4,00,00,10,00,00,00,00,00,
18445081462446926945,000001F1,false,Rx,0,8,AE,0E,00,00,08,00,00,72,
18445081462446927928,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446928184,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462446928440,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446928654,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446928867,00000199,false,Rx,0,8,CF,FF,0B,82,F4,7B,00,FF,
18445081462446929124,000001A1,false,Rx,0,7,00,10,01,00,00,00,00,00,
18445081462446929252,000001F3,false,Rx,0,2,00,20,00,00,00,00,00,00,
18445081462446929508,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462446929765,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446929935,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446930192,000002C3,false,Rx,0,6,06,4B,06,A0,0F,FF,00,00,
18445081462446930405,000002D1,false,Rx,0,6,00,00,00,00,00,00,00,00,
18445081462446930576,000002D3,false,Rx,0,2,03,03,00,00,00,00,00,00,
18445081462446930832,000003C1,false,Rx,0,8,07,65,A7,80,00,00,00,00,
18445081462446931089,000003D1,false,Rx,0,8,00,2B,80,00,00,00,00,00,
18445081462446931730,000000F1,false,Rx,0,4,34,89,00,40,00,00,00,00,
18445081462446932071,000003C9,false,Rx,0,8,07,66,00,00,00,00,00,00,
18445081462446934506,000003E9,false,Rx,0,8,00,00,00,00,00,00,00,00,
18445081462446940444,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446940700,000000C9,false,Rx,0,8,00,00,00,07,00,40,08,00,
18445081462446940957,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446941170,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446941427,00000199,false,Rx,0,8,0F,FF,0B,82,F4,7E,00,FF,
18445081462446941683,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446941854,000000F1,false,Rx,0,4,00,89,00,40,00,00,00,00,
18445081462446942025,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446942195,000001E1,false,Rx,0,5,00,00,10,00,00,00,00,00,
18445081462446948176,0000019D,false,Rx,0,8,80,00,3F,FE,00,00,00,FF,
18445081462446948347,000001AF,false,Rx,0,3,00,00,00,00,00,00,00,00,
18445081462446948603,000001F5,false,Rx,0,8,0F,0F,00,01,00,00,03,00,
18445081462446951807,000000F1,false,Rx,0,4,1C,89,00,40,00,00,00,00,
18445081462446952918,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446953174,000000C9,false,Rx,0,8,00,00,00,0A,00,40,08,00,
18445081462446953430,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446953644,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446953900,00000199,false,Rx,0,8,4F,FF,0B,82,F4,7D,00,FF,
18445081462446954114,000001A1,false,Rx,0,7,00,10,01,00,00,00,00,00,
18445081462446954370,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462446954626,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446954840,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446962102,000000F1,false,Rx,0,4,28,89,00,40,00,00,00,00,
18445081462446964537,000001F3,false,Rx,0,2,40,60,00,00,00,00,00,00,
18445081462446965434,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446965690,000000C9,false,Rx,0,8,00,00,00,0D,00,40,08,00,
18445081462446965904,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446966160,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446966417,00000199,false,Rx,0,8,8F,FF,0B,82,F4,7C,00,FF,
18445081462446966630,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446966844,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446971671,000000F1,false,Rx,0,4,34,89,00,40,00,00,00,00,
18445081462446971927,000001E1,false,Rx,0,5,00,FF,11,00,20,00,00,00,
18445081462446973166,0000019D,false,Rx,0,8,C0,00,3F,FD,00,00,00,FF,
18445081462446973337,000001AF,false,Rx,0,3,00,00,00,00,00,00,00,00,
18445081462446973593,000001F5,false,Rx,0,8,0F,0F,00,01,00,00,03,00,
18445081462446974747,000003F1,false,Rx,0,8,00,FF,69,18,82,F3,00,74,
18445081462446977950,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446978207,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462446978463,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446978677,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446978933,00000199,false,Rx,0,8,CF,FF,0B,82,F4,7B,00,FF,
18445081462446979147,000001A1,false,Rx,0,7,00,10,01,00,00,00,00,00,
18445081462446979403,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462446979659,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446979873,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446980086,000002C3,false,Rx,0,6,06,4B,06,A0,0F,FF,00,00,
18445081462446980300,000002D1,false,Rx,0,6,00,00,00,00,00,00,00,00,
18445081462446980471,000002D3,false,Rx,0,2,03,03,00,00,00,00,00,00,
18445081462446981710,000000F1,false,Rx,0,4,00,89,00,40,00,00,00,00,
18445081462446984486,000003F9,false,Rx,0,8,00,00,00,00,55,00,0B,02,
18445081462446984657,000003FB,false,Rx,0,2,00,37,00,00,00,00,00,00,
18445081462446990424,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462446990680,000000C9,false,Rx,0,8,00,00,00,07,00,40,08,00,
18445081462446990937,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462446991150,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462446991407,00000199,false,Rx,0,8,0F,FF,0B,82,F4,7E,00,FF,
18445081462446991620,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462446991791,000000F1,false,Rx,0,4,1C,89,00,40,00,00,00,00,
18445081462446991962,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462446994525,000001F3,false,Rx,0,2,80,A0,00,00,00,00,00,00,
18445081462446998199,0000019D,false,Rx,0,8,00,00,00,00,00,00,00,FF,
18445081462446998370,000001AF,false,Rx,0,3,00,00,00,00,00,00,00,00,
18445081462446998583,000001F5,false,Rx,0,8,0F,0F,00,01,00,00,03,00,
18445081462447001872,000000F1,false,Rx,0,4,28,89,00,40,00,00,00,00,
18445081462447002898,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462447003154,000000C9,false,Rx,0,8,00,00,00,0A,00,40,08,00,
18445081462447003410,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462447003624,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462447003880,00000199,false,Rx,0,8,4F,FF,0B,82,F4,7D,00,FF,
18445081462447004094,000001A1,false,Rx,0,7,00,10,01,00,00,00,00,00,
18445081462447004350,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462447004521,000001E1,false,Rx,0,5,00,FE,12,00,40,00,00,00,
18445081462447004777,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462447004991,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462447012168,000000F1,false,Rx,0,4,34,89,00,40,00,00,00,00,
18445081462447015457,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462447015713,000000C9,false,Rx,0,8,00,00,00,0D,00,40,08,00,
18445081462447015927,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462447016183,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462447016397,00000199,false,Rx,0,8,8F,FF,0B,82,F4,7C,00,FF,
18445081462447016653,000001ED,false,Rx,0,8,01,90,00,00,00,00,17,C0,
18445081462447016867,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462447021736,000000F1,false,Rx,0,4,00,89,00,40,00,00,00,00,
18445081462447023146,0000019D,false,Rx,0,8,40,00,3F,FF,00,00,00,FF,
18445081462447023317,000001AF,false,Rx,0,3,00,00,00,00,00,00,00,00,
18445081462447023573,000001F5,false,Rx,0,8,0F,0F,00,01,00,00,03,00,
18445081462447024769,0000012A,false,Rx,0,8,57,00,00,00,B2,58,3F,FF,
18445081462447026905,00000134,false,Rx,0,4,00,00,10,00,00,00,00,00,
18445081462447027930,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462447028144,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462447028400,000000F9,false,Rx,0,8,00,00,40,00,00,00,00,FF,
18445081462447028657,00000191,false,Rx,0,8,06,4B,06,4B,05,CA,00,00,
18445081462447028870,00000199,false,Rx,0,8,CF,FF,0B,82,F4,7B,00,FF,
18445081462447029084,000001A1,false,Rx,0,7,00,10,01,00,00,00,00,00,
